item_id,HALL_bike_sum,WANDERING_bike_sum,SOUTHERN_SCH,SOUTHERN_SCH_GATE_AREA,NORTHERN_SCH,NORTHERN_SCH_GATE_AREA,DE_AREA,C_AREA,MALL_AREA,COLONY_AREA,timestamp
136,4855,724.9565217,1648.73913,488.826087,1330.26087,146.4782609,425.826087,651.3478261,63.56521739,10.30434783,35172
137,4736.285714,720.2142857,1530.428571,463.8571429,1282.285714,144.2142857,506.7142857,618.4285714,71.21428571,7,35192
138,4570,774.3333333,1271.916667,370.75,1245.416667,147,541.9166667,652.5,76.91666667,7,35212
139,4779.285714,951,1089.714286,329.8571429,1178.571429,147.7142857,713.2857143,757.1428571,83.28571429,6.285714286,35232
140,4610.230769,1109.230769,932.8461538,276.6923077,934.8461538,137.3076923,744.9230769,789.3076923,88.07692308,11,35252
141,4674.333333,1057.5,972.3333333,320.6666667,964.3333333,133.3333333,723.8333333,863.6666667,84.16666667,8.5,35272
142,4749.2,1075.4,990,327.2,925.2,130.6,818.4,842,89.6,8.6,35292
143,4932.375,1131.4375,1016.75,328.125,990.25,132.3125,864.875,828.375,87.625,13.0625,35312
144,4882.75,1071.25,1046.625,347.625,1011.375,130.875,875,769,90.25,19.25,35332
145,4637.818182,1010.272727,1054.090909,323.1818182,1016.636364,132.1818182,802.4545455,637,95.81818182,21.54545455,35352
146,4898.090909,946.5454545,1353.727273,452.8181818,1063.909091,133.9090909,764.5454545,653.1818182,98.63636364,17.54545455,35372
147,4959,882,1581,501,1053,133,690,655,95,3,35392
148,4804.631579,851.4210526,1563.631579,483.0526316,1056.263158,138.7894737,614.1052632,621.7368421,95.47368421,2,35412
149,4924.75,854.4166667,1614.666667,488.25,1083.416667,133,661.3333333,606.5833333,96.83333333,7.5,35432
150,4933.714286,871.5714286,1623.857143,500.7142857,1071.714286,128.7142857,655.5714286,608.8571429,95.14285714,7,35452
151,4918.461538,880.8461538,1569.615385,506.0769231,1038.615385,127.9230769,681.4615385,642.3076923,97.69230769,7.923076923,35472
152,4909.230769,895.4615385,1464.461538,440.8461538,1045.307692,123.2307692,713.5384615,663.9230769,113.3846154,13.15384615,35492
153,4941,953.5,1343.75,380.75,1027.75,122,757,748.75,92.25,18,35512
154,4882.44,1020.92,1169.84,338.04,981.92,122,791.72,805.12,93.72,19.2,35532
155,4671.24,1099.32,1026.64,318.84,920.32,122,746.12,747.52,88.12,43.2,35552
156,4944.173913,1161.478261,982.6086957,318.5652174,955.4782609,126.0869565,842.3478261,884.1304348,92.04347826,26.08695652,35572
157,4905.913043,1156.26087,988.6956522,334.2173913,910.2608696,126.9565217,825.826087,895.4347826,102.4782609,26.95652174,35592
158,4870.666667,1109.8,1021.4,336.1333333,915.1333333,130.2666667,849.5333333,831.7333333,115.3333333,27.73333333,35612
159,4854.411765,1087.588235,999.2352941,335.7647059,920.7647059,130.7647059,850.9411765,853.5294118,115.1176471,27.23529412,35632
160,4843.571429,1070.571429,1021.714286,336.1428571,894,127.5714286,868,842.1428571,122.4285714,24.71428571,35652
161,4592.6,1013.6,1028.4,325,864.8,127.8,756.8,777.4,127.8,23.8,35672
162,4771,1050.923077,1061.461538,347.9230769,903.2307692,127.3076923,889.2307692,716.2307692,126.9230769,23,35692
163,4867,1033.307692,1069.230769,345.7692308,911.3846154,129.6923077,916.7692308,783.4615385,130.6923077,22.15384615,35712
164,4800,1054.333333,1046.333333,343.6666667,885.3333333,127,923.6666667,744.3333333,126.6666667,19.33333333,35732
165,4774.307692,1078.230769,1004.230769,337.9230769,895.5384615,126.5384615,928.5384615,731.6153846,120.4615385,15.69230769,35752
166,4674,1070.75,957,324.5,908,124.5,830.5,767.75,116.25,23.75,35772
